"protein_group","number_of_peptides_A_1","number_of_peptides_A_1","number_of_peptides_A_1","number_of_peptides_B_1","number_of_peptides_B_1","number_of_peptides_B_1","abundance_A_1","abundance_B_1","log_fold_change_B_vs_A","differential_abundance_pvalue_B_vs_A","differential_abundance_qvalue_B_vs_A"
"P35232",22,22,23,20,19,21,22.0860223332354,22.043744022659,1.92962032734607e-06,0.995585976068864,1
"O75717",14,17,14,16,12,13,19.9785680158611,19.9796530686862,0.120121246494852,0.0681832176971704,0.165826844092592
"P07813",NA,NA,NA,NA,7,4,18.675116238381,20.3034366863757,1.0679588121116,0.00285516052764612,0.0108609601976943
NA,NA,NA,NA,NA,NA,NA,19.1003481136324,19.1655061782699,0.000817633850250474,0.968734341234379,1
"P35606",19,19,18,25,22,17,20.7162695247303,20.6843584851142,0.124423155221842,0.0246518746358172,0.0693099818788174
"Q14676",15,NA,8,15,12,12,19.7671857768336,19.8913524108534,0.241451309361969,0.00556891590685888,0.0192930607260092
"Q9NVZ3",5,8,5,NA,6,5,20.8679863631173,20.7874709842307,4.30301929334067e-17,0.999999986747907,1
"Cont_P01966",12,19,14,17,16,19,21.3076480204817,21.3828684123475,0.24328766960929,5.89442349167289e-05,0.000352902377333167
"O60306",15,8,16,11,14,19,20.0307387014054,20.0803992133776,0.225942673808613,0.0288549443916195,0.079436974887643
"P62258",23,19,23,23,23,22,22.6513265465339,22.6047339646396,0.20143157173639,0.00265144340313314,0.010219104782909
"P0ABA4",NA,NA,NA,NA,2,3,18.5093624089148,20.1486482209305,1.7856253383255,0.000250720313747861,0.00129682920904066
"Q8IWA0",14,12,15,12,13,16,20.2304740759991,20.2906648786931,0.151113150269476,0.0181979985598525,0.0536942541239666
"O00273",6,5,11,NA,6,7,21.0601717255334,20.9979496205187,0.0665600346741489,0.274164793866075,0.518614385124989
"P31040",23,19,18,21,20,22,22.0513760966528,21.9525287777436,2.00746825019447e-09,0.999875938122995,1
"P14540",54,59,64,40,39,47,22.9853278443561,21.9953059326996,-0.831063101584076,9.23368622942053e-68,1.7082319524428e-64
"P31539",43,45,50,40,29,38,22.2667174508032,21.3650834308931,-0.779717341111165,3.58307338765282e-39,7.36520640795302e-37
"P53252",13,14,16,8,11,12,22.6193213837648,21.6015331287189,-0.774863898837563,2.40024315907353e-18,9.65315183540443e-17
"P0ABE2",NA,NA,NA,NA,NA,2,17.5973153102809,19.3510409914648,1.87603557300962,8.43237488479538e-06,5.96251588837187e-05
"Q9UBI1",4,5,5,NA,5,3,20.3770627718326,20.4079741958995,6.34196465257497e-20,0.999999999512789,1
"Q96CT7",5,6,5,7,7,7,20.6654888852633,20.6730163530174,0.0664253475441537,0.462797483720493,0.798422764889256
"Q9UKD2",11,13,12,13,12,11,21.327345388658,21.3351452387571,1.08311848043359e-19,0.999999999465482,1
"P19623",13,14,16,16,16,13,22.5261739188833,22.5351521204752,0.172124426197941,0.118955046870907,0.262211248118875
"Q92925",6,6,6,10,6,8,20.9061098190824,20.7440009859986,-1.83219930234586e-19,0.999999999831291,1
"P02400",16,18,15,12,11,13,21.8806445289139,20.8374778014955,-0.904431539353501,4.1697945826529e-30,5.03094781167904e-28
"P0A7L0",6,NA,NA,7,7,6,21.4921644181745,23.1844654848727,1.84913367976762,1.77296564925861e-16,5.71580919552909e-15
"O75175",NA,NA,NA,NA,7,4,20.7535123104107,20.7634805780324,1.12469595679853e-19,0.999999999320768,1
"P10622",3,2,2,NA,NA,2,20.6238410649231,19.6236440949243,-0.757749662155428,2.07300934940381e-05,0.000135514745455726
"Q9NSD9",22,23,23,21,24,21,22.044352109662,22.0851722333167,0.151102706738133,0.0168799633468346,0.0505033943800173
"P22102",48,46,49,52,44,51,22.5070935728831,22.5015813456503,0.192812972558253,1.13839264995633e-05,7.8877393349034e-05
"P46926",5,2,2,2,2,5,20.1780856409648,20.4083345120611,0.353486969702891,0.0927632562139768,0.214069052801485
"P28838",19,23,21,22,23,21,21.9420619625768,21.9524770079723,0.131917928874995,0.0277591377769942,0.0767247084971703
"P25349",6,8,5,6,5,1,21.6072773869263,20.4451127852301,-0.945018752861104,5.44870212292087e-09,6.60268488694559e-08
"P30566",13,9,11,14,12,9,21.1001468987604,21.1001165105374,0.108418847345117,0.115927652873951,0.257256486785457
"O75533",34,37,33,36,34,40,21.898264847738,21.8063844710392,1.9409279436328e-20,0.999999999517029,1
"Q14974",36,39,45,39,42,40,22.402141011865,22.3875300207253,0.21191960798778,0.000255183245881653,0.00131623328498436
"P40212,Q12690",12,10,11,13,15,11,25.1514921198586,23.9996697704264,-0.965036926075786,7.8248381000774e-08,7.86736439409956e-07
"Q9BW92",NA,3,NA,NA,6,3,19.588384860182,19.7303721339756,0.122150327788313,0.3815766468333,0.679201536217068
"P00560",54,50,53,51,47,48,24.4698912109642,23.4214341292835,-0.764971345518276,1.03062025072855e-46,3.81329492769562e-44
"P27694",20,19,23,17,23,19,21.6598241922692,21.6126869617404,0.0816033018978093,0.19892820372247,0.398286987972478
"P0CS90",20,23,19,12,15,16,22.8204595776082,21.9029421451508,-0.746783116679798,4.08337440618397e-24,2.76374731150257e-22
"O75369",57,63,58,61,66,68,20.8283453590917,20.7542573311923,0.0920012862789254,0.0208924801316517,0.0602041872952582
NA,NA,NA,NA,NA,NA,NA,19.4910765764871,19.3890536898845,5.92141269236374e-20,0.999999999769413,1
"Q9NVU0",NA,8,NA,NA,10,4,19.4709694545032,19.7939895171167,0.0775445147672582,0.410029298928674,0.723351115401825
"P05386",6,6,7,6,7,5,20.7956033094676,20.688275204184,3.32474372389863e-10,0.999950842137446,1
"Q9BX68",NA,6,6,NA,NA,7,20.8985722214188,20.7639128186193,1.23321481254705e-19,0.999999999622145,1
"Q96C36",9,9,11,12,12,11,22.2668885434639,22.2145522187702,0.171603193651558,0.113387451358926,0.25293422630307
"P33316",11,13,10,10,10,13,23.1052047347259,23.1510672223989,0.149130653161334,0.0162613280085045,0.0489427171622559
"P02545",42,41,40,42,38,41,23.2775426203184,23.1798404661191,9.01024003845916e-21,0.999999999759259,1
"Q15833",11,7,12,NA,13,12,20.5852483494285,20.4312599335617,6.05905343511869e-20,0.999999999541799,1
"Q96I24",16,15,11,14,16,15,21.5811128714189,21.568917722332,0.0822926859938345,0.233013721515595,0.451703162560795
"Q9UQ80",28,32,30,33,33,32,23.3758880536421,23.3127403468323,0.0186690801248453,0.574076952083284,0.95079889109586
"P78371",41,38,40,46,40,41,22.7119066698547,22.6724023270184,0.122331170141153,0.00868990819390635,0.028372821099471
"P61764",NA,4,NA,NA,NA,4,20.0904545223848,20.2724432143745,0.267568592002127,0.0158842697369729,0.0480685370993456
"P50579",16,17,15,13,16,16,20.975821336828,20.8728263261691,8.19784217972752e-08,0.998763295493711,1
"Q5SRE5",21,20,26,27,21,25,20.2830585775631,20.2133844170881,2.42978084193913e-11,0.999987380958238,1
"Q2TAY7",14,12,12,16,11,15,20.9745296063864,20.9950779256354,0.181623650579848,0.0297293236274157,0.0815206255593661
"P08200",NA,NA,NA,18,18,15,19.6835693237065,21.4025329634682,1.80179747380753,5.364639146281e-21,2.70670429653269e-19
"Q9UHB9",18,15,14,16,15,13,20.7364517772653,20.6793929297304,0.0803770020361175,0.218195886803722,0.429502935106444
"O14744",17,16,22,21,16,17,22.0900471459568,22.055453120631,0.0579787019696582,0.251235224107874,0.481809085624983
NA,NA,NA,NA,NA,NA,NA,19.6303101881397,19.2894276591853,-6.17070709832107e-20,0.999999999740027,1
NA,NA,NA,NA,NA,NA,NA,20.0945227999049,19.9760927240325,6.08384099180769e-20,0.999999999747989,1
"P16521",44,46,42,32,38,32,22.4346388098012,21.363899108067,-0.821811191103959,9.93920946894707e-43,2.75813062763281e-40
"Cont_P68103,P68104,Q5VTE0",30,32,34,31,34,35,22.5711251221064,22.6410730792136,0.228315294899636,3.06757476248762e-05,0.000194794507228905
"P0CX39,P0CX40",6,8,8,5,6,6,25.6695945125778,24.4924271038761,-0.995023481941741,8.21711931208659e-16,2.50576990011432e-14
"P24941",NA,5,7,NA,8,9,20.8331296791662,20.7942706203825,0.0429449140822611,0.474913462961868,0.815224786002842
"Q15149",77,65,75,81,82,92,20.0476787244192,20.113156529563,0.139032102172011,0.0376642228144056,0.0993991614930819
"Q8WUM4",31,34,32,36,29,37,22.3808279185035,22.2994850743421,0.0835417337943385,0.0578167108277668,0.143893607665518
"O43747",NA,12,8,NA,12,9,19.6798225968101,19.3773654269909,-1.09363240314995e-19,0.999999999344214,1
"P54920",10,10,10,10,11,7,21.9063256194609,21.8553166481149,0.118754909873424,0.0625340531989663,0.153772261964671
"Q8NFW8",7,10,9,NA,10,11,21.2098105826747,21.0922743679914,0.028082668334879,0.519274634951045,0.875181969018615
"Q86UK7",9,12,12,11,12,15,20.0160526788531,19.9474797071149,1.82223419669987e-06,0.996169512601912,1
"P34897",20,21,22,21,20,25,22.5512157404287,22.560724994987,0.157638678271401,0.037244711032794,0.0985732695431601
"Q12788",18,17,18,16,17,17,21.8025793898935,21.7447376181198,0.128542317775501,0.00371352672587413,0.0136762264954223
"O95319",NA,NA,NA,NA,3,2,20.4639808288657,20.1261471235062,-4.44331141270679e-20,0.999999999800151,1
"P52815",NA,NA,NA,NA,6,NA,20.6214362144862,20.9101640780619,0.4176800762681,0.00899329863599691,0.0292400746513081
"Cont_P08727,P08727",11,10,10,12,11,11,21.7332879770464,21.7705706727276,0.04595425355848,0.494400607857547,0.840920433223839
"Q15057",NA,NA,NA,NA,NA,6,19.0201278276918,19.6965398017622,0.245113339677635,0.0870395191430159,0.203312008099216
"Q9H0D6",17,12,16,14,16,16,20.8528739335195,20.8167661017433,0.0721070200942314,0.138651856679538,0.296538653014041
"P0ACF0",4,2,3,5,4,4,22.529469353723,24.6732174066148,2.22706235761769,5.68528282765158e-13,1.21358921897947e-11
"O75643",64,60,64,69,63,71,22.0075564460451,22.0235002173511,0.169798914012407,2.46905429433644e-07,2.31083496350207e-06
"Q12872",NA,8,NA,NA,7,NA,20.1072840463102,20.2317590392097,0.22645308329554,0.48274113376746,0.825389184352866
"P30613",23,19,24,24,25,22,21.7715856162182,21.7720191108197,0.139333069343012,0.0203764884684643,0.0590545749347138
"P11172",NA,8,7,10,9,8,20.836426546759,20.7886476315025,1.06544694257593e-19,0.999999999358738,1
"P41227",6,7,6,NA,7,8,22.5368208811151,22.4923448879595,0.0244418714023488,0.647851998891069,1
"Q9C0C9",12,14,12,13,14,11,20.1263846690683,20.0396959765091,5.87708084631751e-09,0.99984179628976,1
"P07814",68,63,64,68,66,74,22.1023231403247,22.0508204310077,0.121331180165959,0.000184389086327355,0.000994518395643169
"P46655",25,22,23,21,18,20,22.4669979717551,21.3426099395838,-0.918690784676906,3.71558792846067e-25,2.8283676192843e-23
"Q14980",48,44,46,48,50,51,21.0516099111311,21.0045145930596,6.37270429609899e-21,0.999999999806183,1
"Q9P287",10,11,12,9,11,11,21.4466723192933,21.4870716191412,0.0603305996228918,0.310938732687719,0.574853419859041
"O95602",NA,15,19,21,18,19,19.6539330996498,19.6603351547071,0.069876677922891,0.138980750603134,0.296784596324506
"P38911",6,8,9,NA,NA,NA,21.2765001436575,20.188575119604,-0.88163764020935,4.86513131430197e-14,1.21628282857549e-12
"Q7Z6Z7",46,37,40,54,41,43,20.6478898307773,20.6288491289044,0.106077894030929,0.118707415036912,0.26216719198363
"O75390",16,16,17,19,20,19,21.6712732177133,21.6501905614228,2.26227201833257e-09,0.999833952443966,1
"O00139",12,10,13,13,12,10,20.549334263604,20.4221626620985,1.78502050016838e-20,0.99999999980857,1
"P49327",106,107,104,108,110,114,22.4110065450578,22.3821020447809,0.153086177532081,2.47110607393376e-09,3.24223137360103e-08
"Q8WZA9",NA,NA,NA,NA,NA,6,19.1483101716152,18.9940328375369,-4.25067344563835e-20,0.99999999976617,1
"Q9UNQ2",11,9,7,NA,8,8,20.8081191587211,20.7095936532105,2.94911313297908e-18,0.999999996618961,1
"P78527",101,101,103,106,117,116,21.7341738762718,21.7008860512484,0.123305752347293,0.000174453525389456,0.000943681350790917
"O95831",15,18,15,19,17,18,22.2463554498819,22.1900133789962,0.125972800183184,0.0268780002395985,0.0746984984125045
"Q04637",32,40,41,38,41,41,22.37920889381,22.3337360989294,0.115565088717791,0.00427830920289033,0.015388604067428
NA,NA,NA,NA,NA,NA,NA,19.1258567064894,18.724638731043,-6.2084032965616e-20,0.999999999816292,1
"P55084",16,16,16,18,15,18,21.7792905720151,21.7365158809114,0.0454543588250854,0.337673134566465,0.615059368836193
"P0AFH8",5,4,4,9,8,8,20.8271223066268,22.4768473313764,2.16749817057036,2.94383647219969e-13,6.53531696828332e-12
"Q9BUF5",9,8,9,8,11,8,22.0530569535939,22.0306835180824,0.167478993160895,0.00399766137738416,0.0145298105071919
"P09211",24,25,20,26,22,26,22.929315874326,22.9305801073628,0.0447787869832324,0.465664422005743,0.802869693113351
"P54886",14,18,22,18,17,22,21.2780658953724,21.1478611492148,2.38428304401399e-07,0.998194525110848,1
"Q16891",28,24,23,22,20,22,21.8105034018903,21.755505085975,0.132041919761154,0.00653735386474075,0.0222910326801458
"P14618",36,38,39,44,39,39,22.8904422645885,22.9157155662509,0.167817157891123,0.0179079656415488,0.0531209028918202
"Q8IZ69",18,15,19,14,20,17,20.3699577937453,20.4035542600815,0.146796990788952,0.0228580988462977,0.064991008502537
"Q8NE71",16,19,21,18,20,20,21.9399381785481,21.8669754777662,0.0379278089660966,0.49750484170734,0.844647253433997
"P20700",34,34,29,35,34,35,22.9431730539545,22.8595480280396,0.0782460382855804,0.153977960861059,0.323213949613796
"P42765",3,5,NA,NA,4,3,20.1083522460376,19.9987927141456,2.63491103019899e-18,0.999999997750162,1
"P25787",11,12,13,12,13,13,21.4956990794877,21.4014469404843,6.77699887689794e-20,0.999999999363342,1
"P76402",1,NA,2,NA,4,3,20.457645410355,21.5684242540141,1.37270131294449,1.36304421764486e-06,1.13587018137072e-05
"P68919",NA,2,NA,NA,3,2,20.0334515087124,21.7601012820551,1.86733964381041,6.37605813823238e-10,9.09694670107705e-09
"Q05050",21,22,19,NA,15,10,20.6473646327972,19.6617796217687,-0.802804789051434,2.76119437139841e-08,2.95272230467461e-07
"P07262",9,10,8,9,9,5,21.5151078021967,20.5900288815184,-0.714600177986173,6.92243667412269e-13,1.46081838560384e-11
"P08574",9,8,11,9,8,9,21.3141886520669,21.3996773951143,0.249519202046109,0.00476422955311669,0.0169063133118911
"Q9BV44",9,7,9,9,11,11,20.8632197022194,21.2056706710751,0.3042163424626,0.00834939394500323,0.0274196073341822
"Q15042",14,13,12,19,18,16,20.0921046021556,20.1242875044027,1.11342020932528e-09,0.999922815481557,1
"Q8IY81",17,16,16,16,14,15,20.7493683603917,20.6620257335876,1.78752714993361e-18,0.999999998130473,1
"Q03973",6,5,4,4,3,3,21.5482120309701,20.7599023351692,-0.698696985868744,7.40298656342574e-05,0.000436163221093555
"Q9Y4L1",27,30,25,27,26,30,21.1605052537414,21.1468829204704,0.189656428356272,0.000491310826853529,0.00231671630334502
"Q9Y6E0",5,3,3,NA,6,5,20.3721540470826,20.2205250784656,2.65658351684212e-19,0.999999999173058,1
"P05387",13,12,12,12,13,11,21.5241279327901,21.3924941169029,1.77010141311071e-11,0.999993662782444,1
"P05318",4,5,3,NA,2,3,21.1351237777202,19.8961688164783,-1.01693582956068,1.12074534404352e-07,1.10875876282381e-06
"Q96C90",3,4,3,NA,6,4,20.9649455330368,20.8690997511749,0.0212991380131805,0.636902050230788,1
"Q6IBS0",7,6,6,10,10,7,21.2168561611984,21.2312706042218,0.185817314118871,0.0201734949807405,0.0585580005978609
"Q14444",14,14,15,15,16,14,22.1220300138146,21.9864227910838,0.0621374451232305,0.196722187236916,0.395153144829853
"P47914",3,3,NA,NA,3,3,23.5880332369115,23.4016069423625,-4.9081040312704e-11,0.999997946327153,1
"Q9UKV3",24,26,28,22,30,33,20.9260352882405,20.8200753082845,3.15693083073509e-19,0.999999998880815,1
"Q9UHJ6",4,NA,3,NA,4,3,19.4493166031529,19.6963411382222,0.0571425243684246,0.432657124107602,0.756247668216928
"Q96GQ7",16,7,9,NA,16,13,21.2970486182174,21.2705344320525,8.68114674449353e-18,0.999999993689079,1
"P0AEE5",7,8,8,16,14,17,20.387117751482,22.1219965715284,1.89629876012161,6.72771021936583e-24,4.39279902558593e-22
NA,NA,NA,NA,NA,NA,NA,20.0996339091379,19.9982419406629,0.0794187056859411,0.272415423398161,0.516184909477568
"Q96JP5",3,NA,NA,NA,NA,3,20.0334810066671,19.765683642771,-2.43672353547271e-20,0.999999999892747,1
"Q01855",8,8,11,7,7,8,22.1477075257595,21.0741156538675,-1.15010394881949,2.44485575793898e-11,4.25358917133584e-10
"Q15181",26,22,21,23,26,23,22.2400996534978,22.1822675546562,0.0676611837031212,0.328419640150929,0.60037187181741
"Q15233",24,23,27,28,28,28,21.4834558191598,21.4283257808681,0.137121742843881,0.00500903828408894,0.0176061826958161
"Cont_Q1WEI2",36,32,34,33,29,34,22.4520361465864,22.1045493954251,-0.16933841461489,5.46414778350532e-05,0.0003299893383945
"Q9BQA1",9,8,8,9,11,10,22.2966380620361,22.3326310952672,0.206035272213758,0.00901125718236784,0.0292813099309962
NA,NA,NA,NA,NA,NA,NA,19.9292193783316,19.5206504479112,-2.96143968274093e-19,0.999999999256185,1
"P43582",4,4,3,NA,2,2,20.9109330053538,19.8266902524448,-0.855853751337273,5.03612130931686e-08,5.21464053483369e-07
