"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_B.A","differential_abundance_qvalue_B.A","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3"
"sp|Cont_P01966|HBA_BOVIN;CON__P01966",7,7,7,7,7,7,0.312302201550138,0.463238784691553,31.867496636451,32.2756940572495,31.8423126177803,32.3615034511705,32.0831444009836,32.1119859931657
"sp|Cont_P02070|HBB_BOVIN;CON__P02070",0,3,2,2,2,3,0.429044728781101,0.57135801167197,NA,24.7699627583896,23.9595707893396,24.8296466547717,24.3245531845149,24.7607167190314
"sp|Cont_P50446|K2C6A_MOUSE;CON__P50446;sp|P48668|K2C6C_HUMAN;sp|P04259|K2C6B_HUMAN;sp|P02538|K2C6A_HUMAN;sp|Cont_P48668|K2C6C_HUMAN;sp|Cont_P04259|K2C6B_HUMAN;sp|Cont_P02538|K2C6A_HUMAN;CON__P48668;CON__P04259;CON__P02538",1,1,0,1,0,0,0.11218997639836,0.243538470245894,22.1513228481661,22.5761914494218,NA,21.6356217038181,NA,NA
"sp|Cont_P02769|ALBU_BOVIN;CON__P02769;sp|P02768|ALBU_HUMAN;CON__P02768-1",27,28,30,26,28,31,0.208857723170376,0.358818155910851,30.9191338178352,31.050845414077,31.0762459042133,31.0489564482977,31.2370117612793,31.2928534871214
"sp|P05787|K2C8_HUMAN;sp|Cont_P05787|K2C8_HUMAN;CON__P05787;CON__H-INV:HIT000292931;CON__Q9H552;CON__REFSEQ:XP_092267;sp|Cont_Q8BGZ7|K2C75_MOUSE;CON__Q8BGZ7;sp|O95678|K2C75_HUMAN;sp|Cont_O95678|K2C75_HUMAN;CON__O95678;sp|Cont_Q922U2|K2C5_MOUSE;CON__Q922U2;CON__Q5XQN5",19,19,20,18,19,20,0.423120291244276,0.567180351582678,31.1218843291843,31.256685308427,31.1953961241342,31.0612118184546,31.5161531585237,31.4003975074966
"CON__P08727;sp|P08727|K1C19_HUMAN;sp|Cont_P08727|K1C19_HUMAN;CON__P19001;sp|Cont_P19001|K1C19_MOUSE;CON__ENSEMBL:ENSP00000377550;sp|Cont_P13646|K1C13_HUMAN;sp|P13646|K1C13_HUMAN;CON__P13646-1;sp|P02533|K1C14_HUMAN;sp|Cont_P02533|K1C14_HUMAN;CON__P02533;sp|Q8N1A0|KT222_HUMAN;CON__Q61782;sp|P08779|K1C16_HUMAN;CON__Q9Z2K1;sp|Cont_Q6IFX2|K1C42_MOUSE;CON__Q6IFX2;sp|Cont_Q9QWL7|K1C17_MOUSE;sp|Cont_P08779|K1C16_HUMAN;sp|Q04695|K1C17_HUMAN;CON__P08779;CON__Q9QWL7;sp|Cont_Q04695|K1C17_HUMAN;sp|Cont_Q8N1A0|KT222_HUMAN;CON__Q8N1A0;sp|Cont_Q9Z2K1|K1C16_MOUSE;CON__P35900;sp|P35900|K1C20_HUMAN;sp|Cont_P35900|K1C20_HUMAN;CON__Q9D312;sp|Cont_Q9D312|K1C20_MOUSE;CON__Q04695;CON__Q3ZAW8",11,13,12,13,12,11,0.149791032795046,0.292985983281263,28.9243253308514,29.295663163491,28.9110698368578,28.5501977073183,29.079492595199,28.2769472097239
"sp|Cont_P08730|K1C13_MOUSE;CON__P08730-1",1,0,1,0,0,1,0.542602588551901,0.668009343840762,26.4767930059247,NA,24.4099259958288,NA,NA,26.2122445595371
"CON__P12763;sp|Cont_P12763|FETUA_BOVIN;sp|P02765|FETUA_HUMAN",8,8,8,8,8,8,0.280603148323865,0.432091705865239,30.9881507223624,31.0782945251879,31.054602224869,31.0008687199214,31.2973282805913,31.2967389858769
"sp|P13645|K1C10_HUMAN;sp|Cont_P13645|K1C10_HUMAN;CON__P13645",5,3,5,5,4,5,0.18764949388277,0.335967543829687,24.9098295224894,23.8802811093912,25.6299024509838,25.479104710267,25.3198048243176,25.6056306893377
"CON__P15497;sp|Cont_P15497|APOA1_BOVIN;sp|P02647|APOA1_HUMAN",10,10,10,10,10,10,0.04770319354536,0.141002906026999,29.4733654758213,29.178492245917,29.5334321192397,29.8615169277344,29.7146153644722,29.6921141068163
"sp|Cont_P17690|APOH_BOVIN;CON__P17690",1,2,2,1,2,2,0.849499008128525,0.901140285218404,23.366595203189,23.6885096536379,23.7128523002279,22.732695719293,24.0822928854276,24.2016034747654
"sp|Cont_P34955|A1AT_BOVIN;CON__P34955",11,9,11,10,11,10,0.113364534381458,0.24552265735275,29.5398480857649,29.3013665272462,29.5786930372321,29.7351716719462,29.928401836806,29.5912358287334
"CON__P41361;sp|Cont_P41361|ANT3_BOVIN;sp|P01008|ANT3_HUMAN",3,4,4,4,4,3,0.0980196414694139,0.225269975644194,27.1364499233631,27.1916263502976,26.861771312208,27.4074785349772,27.4661618411874,27.1983188236058
"CON__Q03247;sp|Cont_Q03247|APOE_BOVIN;sp|P02649|APOE_HUMAN",4,3,4,4,4,4,0.0386871175854862,0.122613992512689,25.72178383667,25.2531660793051,25.5379428942772,25.8245624653123,25.9610995014419,26.0017503301583
"tr|Cont_Q05B55|Q05B55_BOVIN;CON__Q05B55",4,5,3,4,5,4,0.276701728269619,0.42905891600297,26.1481462457106,26.4260267367408,25.7524429617055,26.5009441014923,26.4612770230281,26.1393194531533
"CON__Q29443;sp|Cont_Q29443|TRFE_BOVIN;CON__Q0IIK2;sp|P02788|TRFL_HUMAN",19,24,23,25,25,23,0.0758368352246774,0.190704465727109,29.6885927242046,29.8739336432969,29.9002106082105,30.1427091475187,30.1428580554714,29.9820935155171
"CON__Q1RMK2;tr|Cont_G5E513|G5E513_BOVIN;tr|Cont_A0A3Q1M032|A0A3Q1M032_BOVIN",10,11,12,11,12,13,0.0927260894304541,0.217846631018962,27.5563813184786,27.6346677006183,27.9758331422176,27.8749230789732,28.1347555164378,28.1659937444506
"tr|Cont_Q1RMN8|Q1RMN8_BOVIN;CON__Q1RMN8",3,3,3,3,3,3,0.0909833999735724,0.215380277263021,27.733363812297,28.0779217159363,27.8935040731017,27.7643919073153,29.5659310474518,29.4380481349624
"sp|Cont_Q28065|C4BPA_BOVIN;CON__Q28065",5,4,3,5,5,4,0.0261010404152724,0.0923458967914706,25.721612427358,25.5602432804984,25.5331057943141,25.8099909862834,26.2206250820399,26.2188297335198
"sp|Cont_Q28085|CFAH_BOVIN;CON__Q28085",2,2,3,2,3,3,0.0770523384463124,0.192670279247023,23.9035469826403,23.4686737507659,24.377463503935,24.1769683837254,24.6522244538722,24.7546869842181
"CON__Q28107;sp|Cont_Q28107|FA5_BOVIN;sp|P12259|FA5_HUMAN",10,12,7,11,12,11,0.0495332027493895,0.14405905636853,26.7987380275943,27.1403746505739,26.5093887544377,27.2661155829008,27.4650403576503,27.1798348932242
"CON__Q28194;sp|Cont_Q28178|TSP1_BOVIN;sp|P07996|TSP1_HUMAN",5,5,4,5,7,6,0.0711108356269897,0.182661158460431,25.0409039682931,25.0072902297245,24.6817560201769,25.1585363830732,25.4816053978724,25.1810037413873
"sp|Cont_Q2KJF1|A1BG_BOVIN;CON__Q2KJF1",3,4,3,3,4,3,0.607325961744596,0.718671506196197,25.9384311249958,25.9661901389784,24.4656532423009,25.7612658390519,25.6655315222252,25.6412205002023
"sp|Cont_Q2UVX4|CO3_BOVIN;CON__Q2UVX4;sp|P01024|CO3_HUMAN",20,18,17,20,18,18,0.0546921053777036,0.153000473284679,28.3511528643774,28.0488102832747,28.0711544401771,28.4465029337309,28.4888702400595,28.4775724954719
"CON__Q3KUS7;sp|Cont_P81187|CFAB_BOVIN",1,2,1,2,2,1,0.164176100734611,0.308524780072811,21.9104412355048,23.3381020378524,22.3023763084482,24.0461857470069,23.9746123300144,22.3596169528898
"CON__Q3MHN2;sp|Cont_Q3MHN2|CO9_BOVIN;sp|P02748|CO9_HUMAN",2,3,3,2,2,5,0.888900528852147,0.929973063796367,25.5443333884806,25.4700114375015,25.1744825172892,24.4587393521408,25.6595961076993,26.2752069759704
"sp|Cont_P02081|HBBF_BOVIN;CON__Q3SX09;sp|P68871|HBB_HUMAN",9,9,9,9,9,9,0.277501304005486,0.429632200929427,30.1970142165789,30.272295706296,30.2859378920047,30.2480505010125,30.5688703252921,30.4047624129494
"sp|Cont_Q3SX14|GELS_BOVIN;CON__Q3SX14",9,8,9,8,10,9,0.0305629443477984,0.103274716850145,25.7395001215936,25.3165219488694,25.2209479488815,26.0116006989407,26.0618402761245,25.7732883280425
"CON__Q3T052;sp|Cont_Q3T052|ITIH4_BOVIN;sp|Q14624|ITIH4_HUMAN",15,16,16,18,18,14,0.190604501067085,0.339145517921987,29.7484806672825,29.6283017384604,29.3560877662286,29.4115058859059,29.4222945764499,29.2343351710966
"sp|Cont_Q3ZBD7|G6PI_BOVIN;CON__Q3ZBD7",1,1,1,1,1,1,0.319530565351376,0.470674206302931,27.0876289977057,26.4153733660445,26.8086299900889,27.3650331762658,26.768711986741,26.9679017864379
"tr|Cont_Q3ZBS7|Q3ZBS7_BOVIN;CON__Q3ZBS7;sp|P04004|VTNC_HUMAN",8,6,7,7,5,7,0.316817749877006,0.467997193649422,26.954905838654,26.5628283288856,26.9505388079272,27.246809287255,26.7712397252641,27.0706555894558
"sp|Cont_Q58D62|FETUB_BOVIN;CON__Q58D62",1,1,1,1,2,2,0.00263723293460038,0.0164987453501376,22.3538815644674,22.350937487649,22.8278643409504,23.7127461299488,23.8848754264904,23.2997563131653
"CON__Q95121;sp|Cont_Q95121|PEDF_BOVIN;sp|P36955|PEDF_HUMAN",6,6,5,6,6,5,0.037663398072682,0.120671057693852,25.8535027446131,25.9057512435414,25.7178747616005,26.3747891917839,26.1014013875894,26.0960944587888
"sp|Cont_Q9N2I2|IPSP_BOVIN;CON__Q9N2I2",1,2,2,2,2,2,0.710691964456872,0.79771213837268,24.7520027420895,24.6405602685415,24.7511701254859,24.9800686365115,24.6398871671805,24.6856933830181
"CON__Q9TRI1",1,3,2,1,3,1,0.702109342772491,0.792081793762732,22.4655266065569,24.5501095104958,23.99258990376,22.3038163597322,24.6886797076521,23.0589011653058
"sp|Cont_Q9TTE1|SPA31_BOVIN;CON__Q9TTE1",2,3,2,2,2,2,0.842292918578209,0.895228176276447,24.0359036052589,25.8984971221312,23.7484048511257,24.4792517739818,24.2835790285143,24.5596134067474
"REV__CON__ENSEMBL:ENSBTAP00000001528",0,1,1,1,1,1,0.767067238708609,0.839393175437909,NA,21.5209270256336,25.067510361838,23.8437078415666,22.9697074547591,24.1240972805727
"REV__CON__Q28194;REV__sp|Cont_Q28178|TSP1_BOVIN;REV__sp|P07996|TSP1_HUMAN",0,1,0,1,1,1,0.000209471516634344,0.00400409226398417,NA,31.545033259983,NA,24.1130111276768,25.0615187786811,24.1435588506475
"REV__sp|O43432|IF4G3_HUMAN;REV__sp|Q04637|IF4G1_HUMAN",1,2,1,1,1,1,0.348672303976895,0.498662703118472,25.8215765860097,25.8900275953944,25.4519352123881,27.078530012412,25.6374003615851,25.7289815373153
"REV__sp|P0DUQ2|PRAM9_HUMAN;REV__sp|P0DUQ1|PRA15_HUMAN;REV__sp|O60813|PRA11_HUMAN;REV__sp|H0Y7S4|PRA26_HUMAN;REV__sp|Q5VXH4|PRAM6_HUMAN;REV__sp|Q5TYX0|PRAM5_HUMAN;REV__sp|O60810|PRAM4_HUMAN;REV__sp|A6NGN4|PRA25_HUMAN;REV__sp|A3QJZ7|PRA27_HUMAN",1,2,1,2,2,2,0.485406085317101,0.620510427916057,24.0888698732858,26.2681301977723,25.6342857288895,24.7572084742042,25.415179391068,24.4821917483185
"REV__sp|O95613|PCNT_HUMAN",2,2,2,2,2,2,0.0167492972364317,0.0675780894279154,26.6128939945957,26.7689197520189,26.8853656963774,27.0814391615226,27.961086243266,27.7808304402801
"REV__sp|P05055|PNP_ECOLI",0,1,1,0,0,0,NA,NA,NA,22.7322612175072,NA,NA,NA,NA
"REV__sp|P11986|INO1_YEAST",1,2,1,2,2,2,0.00667159111674921,0.0337796831051157,23.7904268296079,24.2928011143989,23.0516150396763,25.1218927677418,25.0618155480954,25.9836775781376
"REV__sp|P16050|LOX15_HUMAN",1,1,1,1,1,1,0.00323537080083177,0.0192710043379951,24.289224305274,24.0850192257283,23.9012467283222,25.074349975342,24.7019418582543,25.1842926822227
"REV__sp|P20929|NEBU_HUMAN",0,0,1,0,1,1,0.977463284092397,0.987773651721913,NA,NA,23.3533818399988,NA,24.0365206531907,22.7153024028941
"REV__sp|P25371|ADP1_YEAST",2,1,1,1,1,1,0.777704287252823,0.847238159981559,26.6691883907579,24.7269717050343,26.1322163553208,24.8108384701015,25.6857943807269,26.4666201917808
"REV__sp|P25526|GABD_ECOLI",1,1,2,1,1,2,0.353825307232711,0.502731906232434,27.2955717505307,27.2710492345784,27.1850980451505,26.7920630491395,27.1420834697824,27.3148720367804
"REV__sp|P25655|NOT1_YEAST",1,2,1,0,0,0,NA,NA,26.905082447589,26.7440346873113,26.6026496810649,NA,NA,NA
"REV__sp|P34896|GLYC_HUMAN",2,2,2,1,2,2,0.227047609313468,0.38004611822734,26.0390480580815,26.8095345648154,26.9518540213134,26.7481290080123,27.8944738790838,26.8025098206734
"REV__sp|P35573|GDE_HUMAN",1,1,1,2,1,1,0.254534495422319,0.405760373453001,23.7099949612553,23.9704496491316,24.2213842509299,23.8530442322402,25.4553406164943,24.2426875006265
"REV__sp|P38972|PUR4_YEAST",1,0,2,1,0,1,0.543604810863041,0.668525825793309,22.5691489673801,NA,23.7846214647492,22.1936629654754,NA,26.2396651529951
"REV__sp|P50076|ALG10_YEAST",1,1,2,1,0,1,0.269350931876312,0.421810465752455,24.62640065072,23.5642569012283,23.3991677574195,24.8392460714987,NA,24.0725080511261
"REV__sp|P77658|YNAA_ECOLI",2,2,2,1,2,2,0.757698848551632,0.832439562158098,26.5203584960381,26.066427129872,26.0693638464254,25.523812993003,27.2766496237803,25.3285210982922
"REV__sp|P84996|ALEX_HUMAN",1,2,1,1,1,1,0.52893964793322,0.655772423192518,22.3529670379455,24.3678565571379,22.2383841521545,21.9659070478298,21.8845175597457,23.5997893292019
"REV__sp|P98088|MUC5A_HUMAN",2,2,2,2,2,2,0.589918675311634,0.706110398719413,25.0381536194649,26.2665914870453,25.626941484751,25.0906610852208,25.6930288381692,25.5512833413418
"REV__sp|Q01846|MDM1_YEAST",0,1,1,0,1,2,0.566452155390987,0.687578189296363,NA,27.3652134158904,27.1564569960606,NA,26.5702182118375,27.4798767755379
"REV__sp|Q04183|TR120_YEAST",3,3,3,2,3,3,0.469240117684744,0.606696802066066,28.059592888015,27.8442999829761,28.0045444388591,28.0915752339491,28.7365654105177,27.7176156928137
"REV__sp|Q13402|MYO7A_HUMAN",2,2,1,2,2,2,0.617868709160489,0.728149183057923,26.3563972073428,26.6480252589209,24.3200721310417,25.0959455123771,25.660804737051,25.5590414005121
"REV__sp|Q13523|PRP4B_HUMAN",1,1,1,1,2,1,0.00102944213127835,0.00868902445751159,24.3745537540635,24.4878177918914,25.1836914109805,23.3136639197411,23.1868154995881,22.9883546171196
"REV__sp|Q13813|SPTN1_HUMAN",0,0,1,0,1,0,NA,NA,NA,NA,24.9722546401068,NA,NA,NA
"REV__sp|Q14524|SCN5A_HUMAN;REV__sp|Q9Y5Y9|SCNAA_HUMAN",1,1,1,1,1,1,0.239438458712504,0.391531562673794,27.3479637696183,28.3265255242497,27.4141169629235,28.0173088241029,28.9888583813118,27.7499571643331
"REV__sp|Q14527|HLTF_HUMAN",1,2,1,2,2,2,0.348159097302153,0.498355605526719,24.7628717073993,24.8076524344169,25.0579802410865,24.9392781792459,24.9233819427413,25.2333282685424
"REV__sp|Q15811|ITSN1_HUMAN",1,1,1,2,1,0,0.286472501696125,0.438503960929595,26.3195349008949,26.4764151249121,27.4194914018944,26.0381223623241,26.4832311780879,NA
"REV__sp|Q5SYB0|FRPD1_HUMAN",0,0,2,2,1,2,0.323338165539086,0.475057409600837,NA,NA,23.5377427145848,23.8751186853786,23.8709427492745,25.259013707116
"REV__sp|Q5VVJ2|MYSM1_HUMAN",1,0,0,1,0,0,0.980703685627265,0.989002726104193,22.4906368823703,NA,NA,22.4817348859449,NA,NA
"REV__sp|Q6R327|RICTR_HUMAN",2,2,1,2,0,1,0.355502278383369,0.50449727916966,25.2464172603189,24.6097740499462,25.1081850868643,24.8104878475201,NA,24.6780371557831
"REV__sp|Q86XE0|SNX32_HUMAN",1,1,2,2,2,2,0.000867722499684659,0.00770853115174408,23.5306356837809,23.9981586329996,23.3680929530592,25.066100262903,24.7432342448945,24.9722251314139
"REV__sp|Q8NDH2|CC168_HUMAN",2,2,2,2,2,2,0.0488805386581315,0.143390221352713,29.0104513929637,29.1338066001711,29.6853410880694,28.8173751028104,28.7726681325709,28.7272247754856
"REV__sp|Q8NDM7|CFA43_HUMAN",2,3,2,3,3,2,0.366779197728206,0.515114446708828,25.3438120196738,29.8275960531355,25.6486081162721,29.633578321935,29.7296749484057,26.0867514735272
"REV__sp|Q8NF91|SYNE1_HUMAN",1,2,2,2,1,1,0.037855958028013,0.120891641127367,23.9601460093581,24.4814646291508,24.4204417492008,24.942375123785,25.0231208342438,24.5684100238843
"REV__sp|Q8NFD5|ARI1B_HUMAN",0,1,1,1,1,2,0.629550988741796,0.735820627637987,NA,25.7546770531159,26.7732523503614,25.7059444265377,26.0644590465253,26.4185256574256
"REV__sp|Q8TC59|PIWL2_HUMAN",0,1,1,2,1,1,0.0228962651809437,0.0845586936312101,NA,23.5714533996578,23.9616614356605,25.1072656957594,25.5861578453797,24.4337457865443
"REV__sp|Q8TD26|CHD6_HUMAN",2,2,2,2,2,2,0.0178865138332463,0.0710175856716423,26.8491679712827,27.0042650919784,25.8602912761304,25.5860435504344,25.5981429909572,25.3203150208769
"REV__sp|Q8WXX0|DYH7_HUMAN",0,1,2,0,0,0,NA,NA,NA,23.8761702902239,21.1188362961294,NA,NA,NA
"REV__sp|Q8WZ42|TITIN_HUMAN",3,3,3,4,3,4,0.369830312328292,0.51791083577989,26.3004575380672,24.9201705437559,26.3722807500227,25.80586335194,26.0249231402997,27.5630542738257
"REV__sp|Q96SN8|CK5P2_HUMAN",1,2,1,1,0,2,0.336311275056066,0.487023381720194,22.0918436273677,23.4723093613017,21.8113816756494,22.2224479020056,NA,24.604495986797
"REV__sp|Q96T58|MINT_HUMAN",1,2,1,1,1,1,0.468016989144286,0.605504997274957,22.6543521093873,25.8216355751663,23.7874866310758,22.3102125143057,23.9461734663153,23.9035083893017
"REV__sp|Q9BV73|CP250_HUMAN",0,0,1,0,1,0,0.755081457318371,0.831526524678298,NA,NA,23.8681142419045,NA,23.984977540902,NA
"REV__sp|Q9BX26|SYCP2_HUMAN",2,2,2,2,2,2,0.107182860657834,0.23632466478979,28.1462211701191,28.5806155681019,28.5921450836078,29.1351602080394,28.6830720789534,28.6703526913787
"REV__sp|Q9BY66|KDM5D_HUMAN;REV__sp|P41229|KDM5C_HUMAN",2,1,2,1,1,1,0.0193229387733034,0.0750491882721465,26.3787268043152,23.8494484255282,25.7028662107428,23.4553194917905,23.097715663931,23.1091854563747
"REV__sp|Q9NVI1|FANCI_HUMAN",2,1,1,1,1,1,0.107943422545265,0.237679838916704,24.1101523195714,22.4803818036622,19.2486697849567,25.2793723292537,23.5646794934048,24.2505363439582
"REV__sp|Q9NYQ8|FAT2_HUMAN",2,1,1,1,1,1,0.718628933601861,0.803585487058841,24.7610936890226,23.7465315602628,24.0387997620171,23.7897081117637,24.0893942610136,25.1717688703591
"REV__sp|Q9P281|BAHC1_HUMAN",2,3,2,2,3,2,0.256948951067867,0.408985007009904,24.6397669094293,25.9513831688132,25.1584275908768,25.4186598118904,26.0165781038337,25.6918439109976
"REV__sp|Q9UG01|IF172_HUMAN",0,1,1,0,1,2,0.941443218119546,0.965834689138717,NA,23.9411952809314,23.3777431230929,NA,22.6721749453742,24.5321756140213
"REV__sp|Q9UI33|SCNBA_HUMAN",1,2,1,2,1,2,0.245352492208429,0.397214140798669,NA,22.2189946687963,NA,22.718936892297,NA,24.3824467091968
"REV__sp|Q9UPN3|MACF1_HUMAN",0,2,2,0,1,1,0.523750932492084,0.651439172183858,NA,25.5967540844113,25.9629479165876,NA,25.9342285094393,25.9126842776782
"sp|Q9NZJ9|NUDT4_HUMAN;sp|A0A024RBG1|NUD4B_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN",4,3,3,4,3,3,0.42613546164707,0.568879198253438,26.3195915286171,25.0335111468918,24.3996084431933,26.62258564333,25.4333751274678,25.2462450693741
"sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN",8,8,7,8,8,8,0.15036334713825,0.293517987128016,28.1683998550337,28.207872588384,27.8445270388457,28.5191089899334,28.3426084224008,28.1712164584197
"sp|A0A2R8Y4L2|RA1L3_HUMAN",1,1,1,1,1,1,0.984032147804003,0.990519380752031,25.8950852557453,26.1832506207039,24.464969113979,26.5727184347939,25.510918839961,24.502110199462
"sp|A0AVT1|UBA6_HUMAN",23,21,20,25,21,25,0.29366082134209,0.44502031449988,28.9761065799934,28.7140915176078,28.6854258004995,29.313821636563,28.8403264550378,28.8534651824256
"sp|A0FGR8|ESYT2_HUMAN",3,1,3,2,4,5,0.0636988345156095,0.169608994791972,23.6432702108104,21.561368220296,23.0017188421218,23.4267042879242,24.2789914888928,24.7372639598527
"sp|A0MZ66|SHOT1_HUMAN",4,5,5,5,8,8,0.0344247075865284,0.112658487118404,26.1216515958422,26.4577925316888,26.1108115367247,26.5013424159733,26.6919268065775,26.9061666293041
"sp|A2RRP1|NBAS_HUMAN",6,5,7,6,5,5,0.549643401361657,0.673409643694347,25.3945110559806,25.0873918503992,25.4105820645262,25.424895897169,25.0225110944929,25.1249441162789
"sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN",5,7,6,5,7,7,0.51425283196173,0.643441571565945,26.531304107633,26.2983840145408,25.587812970833,25.7179277140209,26.2825820548753,25.7969067562625
"sp|A4D1E9|GTPBA_HUMAN",5,4,3,5,5,6,0.0350709430090198,0.114237751694714,25.4218829137646,24.5982718090365,23.6982389959446,25.5638181622418,25.8384584028755,25.9311785842424
"sp|A5YKK6|CNOT1_HUMAN",16,19,20,19,19,22,0.0221545066223235,0.0825682069844946,27.564448004268,27.8482144738856,27.7292268283631,28.2592271582189,28.0300132675438,28.1103776211409
"sp|A6NDG6|PGP_HUMAN",8,9,9,8,8,9,0.307856255634554,0.458872991162425,27.0656265644355,27.4662627845809,27.5427513618017,27.3736622947389,27.6332294951713,27.6636536398145
"sp|A6NDU8|RIMC1_HUMAN",4,2,3,3,4,4,0.731588049188222,0.813134487792005,25.2730959760383,24.339566375934,25.1261377850225,24.39422249772,25.7195730370564,25.0726225583058
"sp|P30046|DOPD_HUMAN;sp|A6NHG4|DDTL_HUMAN",3,3,3,3,3,3,0.0477844408100829,0.141107603320562,27.4491765225471,27.6199807566242,27.5693743236339,27.9282111693636,27.7625481710489,27.8284526322195
"sp|A6NHL2|TBAL3_HUMAN",1,1,1,1,1,1,0.0316763598545312,0.106007324828246,25.794316780977,25.5660844128253,25.8543358081071,26.6262591839735,26.3360903721287,27.9624020783553
"sp|A6NHQ2|FBLL1_HUMAN",2,2,2,2,2,2,0.0372000038927789,0.11949981526635,27.0578400886668,27.0531900801395,27.2551830230506,27.7714646936644,27.4711977565922,27.3686324716497
"sp|A6NHR9|SMHD1_HUMAN",23,26,31,24,24,25,0.571131907714179,0.691072437120228,28.7890914928168,28.7692457725184,28.9789236608084,28.9668748938158,28.8567744424311,28.9275587842251
"sp|A6NKT7|RGPD3_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN",1,1,0,1,1,1,0.178617660363797,0.325158676802351,24.7301864435572,24.8600986928228,NA,24.9102300091282,25.0338002021905,25.1377333024901
"sp|A8MTA8|F166B_HUMAN",1,1,2,1,2,2,0.557510950926925,0.68040189004668,23.6610178260321,23.853143960598,24.7371160999374,20.2946199723797,24.7853557270637,24.7712437684751
"sp|A8MUU1|FB5L3_HUMAN",0,0,0,1,0,0,NA,NA,NA,NA,NA,22.7266133970011,NA,NA
