Parameter	AdaNovo	AlphaDIA	AlphaPept	DIA-NN	FragPipe	InstaNovo	MSAID*	MSAngel	MaxQuant	MetaMorpheus	PEAKS	ProlineStudio	QuantMS	Sage	Spectronaut	Wombat	i2MassChroQ
ident_fdr_psm		**fdr** setting in **fdr** section of the config	**peptide_fdr** in **search** section of the config	No --cfg: value set for **--qvalue**<br>--cfg: parsed from line **Output will be filtered at X FDR**	If not DIA-NN quant, parsed from **phi-report.filter**<br>if DIA-NN quant, parsed from **diann.q-value**		0.01 (fixed)	Parsed from **psmExpectedFdr** in **validationConfig** (divided by 100)	Parsed from **peptideFdr***	Parsed from **CommonParameters.QValueThreshold**	Parsed from either **Precursor FDR: X** or **PSM FDR: X**	Parsed from **psm_filter_expected_fdr** on **Import and filters** sheet	Parsed from **psm_level_fdr_cutoff** from the json file	Not parsed	Parsed from line **Precursor Qvalue Cutoff: X**	Parsed from **ident_fdr_psm**	Parsed from **psm_fdr**
isotope_error_range	Parsed from **isotope_error_range** (stringified)					Parsed from **isotope_error_range** (stringified)											
max_fragment_mz		Maximum value in **fragment_mz** setting, same version-aware extraction		No --cfg: value set for **max-fr-mz** (if not provided, default = 1800)<br>--cfg: parsed from line **Max fragment m/z set to X**	Not parsed		Not parsed		Not parsed	Not parsed	Parsed from line **Fragment M/Z between:** (DIA)				Not parsed		
max_intensity	Not parsed																
max_mods		**max_var_mod_num** setting in **library_prediction** section of the config	**n_modifications_max** in **fasta** section of the config	No --cfg: value set for **var-mods**<br>--cfg: parsed from line **Maximum number of variable modifications set to X**; defaults to `0`<br>if the line is not found	Parsed from **msfragger.max_variable_mods_per_peptide**		Parsed from **Maximum Number of Modifications**	Not parsed	Parsed from **maxNmods**	Parsed from **CommonParameters.DigestionParams.MaxModsForPeptide**	Parsed from line **Max Variable PTM per Peptide: X**	Not parsed	Parsed from **max_mods** from the json file	Parsed from **max_variable_mods** in the **database** section in the config	Parsed from line **Max Variable Modifications: X**	Parsed from **max_mods**	Not parsed if X!Tandem is used <br> parsed from **sage_database_max_variable_mods** if Sage is used
max_peptide_length	Parsed from **max_length**	Maximum value in **precursor_len** setting, same version-aware extraction as min_peptide_length	**pep_length_max** in **fasta** section of the config	No --cfg: value set for **--max-pep-len** (if not provided, default = 30)<br>--cfg: parsed from the line **Max peptide length set to X**	Parsed from **msfragger.digest_max_length**	Parsed from **max_length**	Parsed from **Max. Peptide Length**	Not parsed	Not parsed (always `None`)†	Parsed from **CommonParameters.DigestionParams.MaxPeptideLength**	Parsed from line **Peptide Length between: X** or **Peptide Length Range: X**	Not parsed	Parsed from **max_peptide_length** from the json file	Parsed from **max_len** in the **database[enzyme]** section in the config (None if not set)	Parsed from line **Max Peptide Length: X**	Parsed from **max_peptide_length**	Not parsed if X!Tandem is used <br> parsed from **sage_database_enzyme_max_len** if Sage is used
max_precursor_charge	Parsed from **max_charge**	Maximum value in **precursor_charge** setting, same version-aware extraction	**iso_charge_max** in **features** section of the config	No --cfg: value set for **max-pr-charge** (if not provided, default = 4)<br>--cfg: parsed from line **Max precursor charge set to X**	FragPipe uses charge state information from data, if present. <br>So this value is set to None by default, but overwritten using **msfragger.misc.fragger.precursor-charge-hi** if **msfragger.override_charge** is set to True	Parsed from **max_charge**	Parsed from **Max. Peptide Charge**	Parsed from **CHARGE** in the **paramMap** section if Mascot is used<br>Parsed from **maxChargeSearched** in the **paramMap** section if X!Tandem is used	Parsed from **maxCharge**	Parsed from **CommonParameters.PrecursorDeconvolutionParameters.MaxAssumedChargeState**	Parsed from line **Precursor Charge between: X** or **Charge between: X**	Parsed as the maximal charge state found in **peptide_charge_states** on **Search settings and infos** sheet	Parsed from **max_precursor_charge** from the json file	Parsed as last value from **precursor_charge** list	If Peptide Charge is set to False, not parsed<br>If not, parsed from line **Peptide Charge: X**	Parsed from **max_precursor_charge**	Parsed from either **sage_precursor_charge** or **spectrum, maximum parent charge**, depending on search engine used
max_precursor_mz		Maximum value in **precursor_mz** setting, same version-aware extraction		No --cfg: value set for **max-pr-mz** (if not provided, default = 1800)<br>--cfg: parsed from line **Max precursor m/z set to X**	Calculated by dividing the maximum peptide mass set for digestion (**msfragger.misc.fragger.digest-mass-hi**) by the minimum precursor charge		Not parsed		Not parsed†	Not parsed	Parsed from line **Precursor M/Z between:** (DIA)				Not parsed		
min_fragment_mz		Minimum value in **fragment_mz** setting in **library_prediction** section, same version-aware extraction		No --cfg: value set for **min-fr-mz** (if not provided, default = 200)<br>--cfg: parsed from line **Min fragment m/z set to X**	Not parsed		Not parsed		Not parsed	Not parsed	Parsed from line **Fragment M/Z between:** (DIA)				Not parsed		
min_intensity	Parsed from **min_intensity**																
min_intensity / max_intensity						Not parsed											
min_mz / max_mz	Parsed from **min_mz** / **max_mz**					Not parsed											
min_peptide_length	Parsed from **min_peptide_len**	Minimum value in **precursor_len** setting in **library_prediction** section of the config.<br>Extraction auto-detects older (<1.10) vs newer (≥1.10) AlphaDIA log formats	**pep_length_min** in **fasta** section of  the config	No --cfg: value set for **--min-pep-len** (if not provided, default = 7)<br>--cfg: parsed from the line **Min peptide length set to X**	Parsed from **msfragger.digest_min_length**	Not parsed	Parsed from **Min. Peptide Length**	Not parsed	Parsed from **minPepLen** (version < 2.6) or **minPeptideLength** (version >= 2.6)	Parsed from **CommonParameters.DigestionParams.MinPeptideLength**	Parsed from line **Peptide Length between: X** or **Peptide Length Range: X**	Parsed from **psm_filter_2** on **Import and filters** sheet	Parsed from **min_peptide_length** from the json file	Parsed from **min_len** in the **database[enzyme]** section in the config	Parsed from line **Min Peptide Length: X**	Parsed from **min_peptide_length**	Not parsed if X!Tandem is used <br> parsed from **sage_database_enzyme_min_len** if Sage is used
min_precursor_charge	Not parsed	Minimum value in **precursor_charge** setting, same version-aware extraction	**iso_charge_min** in **features** section of the config	No --cfg: value set for **min-pr-charge** (if not provided, default = 1)<br>--cfg: parsed from line **Min precursor charge set to X**	FragPipe uses charge state information from data, if present. <br>So this value is set to 1 by default, but overwritten using **msfragger.misc.fragger.precursor-charge-lo** if **msfragger.override_charge** is set to True	Not parsed	Parsed from **Min. Peptide Charge**	Parsed from **CHARGE** in the **paramMap** section if Mascot is used<br>Parsed from **minChargeSearched** in the **paramMap** section if X!Tandem is used	Not parsed	Parsed from **CommonParameters.PrecursorDeconvolutionParameters.MinAssumedChargeState**	Parsed from line **Precursor Charge between: X** or **Charge between: X**	Parsed as the minimal charge state found in **peptide_charge_states** on **Search settings and infos** sheet	Parsed from **min_precursor_charge** from the json file	Parsed as first value from **precursor_charge** list	If Peptide Charge is set to False, not parsed<br>If not, parsed from line **Peptide Charge: X**	Parsed from **min_precursor_charge**	Not parsed if X!Tandem is used <br> parsed from **sage_precursor_charge** if Sage is used
min_precursor_mz		Minimum value in **precursor_mz** setting in **library_prediction** section, same version-aware extraction		No --cfg: value set for **min-pr-mz** (if not provided, default = 300)<br>--cfg: parsed from line **Min precursor m/z set to X**	Calculated by dividing the minimum peptide mass set for digestion (**msfragger.misc.fragger.digest-mass-lo**) by the maximum precursor charge		Not parsed		Not parsed	Not parsed	Parsed from line **Precursor M/Z between:** (DIA)				Not parsed		
n_beams	Parsed from **n_beams**					Parsed from **num_beams**											
n_peaks	Parsed from **n_peaks**					Not parsed											
precursor_mass_tolerance	Parsed from **precursor_mass_tol**	**target_ms1_tolerance** setting in **search** section of the config, formatted as `[-X ppm, X ppm]`	**prec_tol** in **search** section of the config; unit is ppm if **ppm** flag (search section) is True, else Da; formatted as `[-X <unit>, X <unit>]`	Value set for **--mass-acc-ms1**. If this parameter is not set, it means tolerance optimization<br>will be performed. In that case, as well as if --cfg is set, the value will be parsed from the first<br>occurence of the line **Recommended MS1 mass accuracy setting: X ppm**	Parsed from **msfragger.precursor_mass_lower** and **msfragger.precursor_mass_upper**; unit (ppm/Da) from **msfragger.precursor_mass_units**	Not parsed	Not parsed	Parsed from **TOL** and **TOLU** in the **paramMap** section if Mascot is used<br> Parsed from **precursorTolerance** and **precursorAccuracyType** in the **paramMap** section if X!Tandem is used	Parsed from **mainSearchTol** (unit always ppm)	"Parsed from **CommonParameters.PrecursorMassTolerance** (e.g. `""±20.0000 PPM""`), formatted as `[-X ppm, X ppm]` or `[-X Da, X Da]`"	"Parsed from line **Precursor Mass Error Tolerance: X** (falls back to 40 ppm if the value is ""System Default"")"	Parsed from **peptide_mass_error_tolerance** on **Search settings and infos** sheet	Parsed from **precursor_mass_tolerance** (+ **precursor_mass_tolerance_unit**) from the json file	Parsed from **precursor_tol**	Set to **Dynamic**, if the calibration method is set to **Dynamic**<br>If the calibration method is set to **Static** or **Relative**, tolerances are extracted from line **MS1 Tolerance: X**, with Th or ppm units, respectively (resolved within the tolerance section matching the instrument's **Vendor**)	Parsed from **precursor_mass_tolerance**	Parsed from either **sage_precursor_tol** or **spectrum, parent monoisotopic mass error minus/plus**,<br> depending on search engine used
predictors_library		AlphaPeptDeep (fixed)	Not parsed as not applicable	No --cfg: either **DIA-NN** if **--predictor** is set, or **User defined speclib** if **--lib** is set to a path<br>--cfg: since --lib/--predictor aren't visible on the command line, falls back to the log body:<br>**Deep learning will be used to generate a new in silico spectral library** → DIA-NN;<br>a subsequent **Loading spectral library** line without that message → User defined speclib<br>Internally stored per RT/IM/MS2_int, flattened to a single string by post-processing	"If DIA-NN quant and **diann.library** is set, `""User defined speclib""`; if DIA-NN quant and unset, `""DIANN""`; otherwise not parsed"		Parsed from **Prediction Model**	Not parsed	Not parsed	Not parsed	Not parsed	Not parsed	Not parsed	Not parsed	Not parsed	Not parsed	Not parsed
protein_inference		**inference_strategy** in **fdr** section of the config	Not parsed	No --cfg: value set for **--pg-level** or **--no-prot-inf** (→ `Disabled`), with the mapping<br>{**0**: `Isoforms`, **1**: `Protein_names`, **2**: `Genes`}; defaults to `Genes` if unset<br>--cfg: parsed from line **Implicit protein grouping: X**, mapped via {isoform IDs, protein names, genes};<br>defaults to `Genes` if not matched	"If **protein-prophet.run-protein-prophet** is true, parsed from **protein-prophet.cmd-opts** (prefixed `""ProteinProphet: ""`)"		Not parsed	Not parsed	Not parsed	`Parsimony` if **SearchParameters.DoParsimony** is True, otherwise not parsed (`None`)	Not parsed	"Parsed from the row containing **""peptides selection method""** on the **Quant config** sheet (lowercased); not parsed if that row is absent"	Parsed from **protein_inference_method** from the json file	Not parsed	Parsed from line **Inference Algorithm: X**	Parsed from **protein_inference**	Not parsed
quantification_method		DirectLFQ (fixed)	**lfq_ratio_min**, **max_lfq** & **mode** in **quantification** section of the config (optional section), combined into a dict then flattened to a human-readable string	No --cfg: either **Legacy** (if --direct-quant set), **QuantUMS high-accuracy** if --high-acc set,<br>or **QuantUMS high-precision** (default)<br>--cfg: parsed from line **X quantification mode** (last match used); defaults to `QuantUMS high-precision`<br>if not found	If not DIA-NN quant, not parsed (TODO)<br>if DIA-NN quant, parsed from **diann.quantification-strategy**		Parsed from **Quantification Type**	Parsed from **quantMethod** type in the **quantitationConfig** section (both Mascot and X!Tandem)	Not parsed	FlashLFQ (fixed)	Parsed from line **LFQ Method: X**	Not parsed	Parsed from **quantification_method** from the json file	Parsed from **lfq_settings** in the **quant** section in the config	Parsed from line **Quantity MS Level: X**	Parsed from **quantification_method**	Not parsed
remove_precursor_tol	Parsed from **remove_precursor_tol**					Explicitly set to `None` (not present in InstaNovo's config)											
scan_window		Not parsed	Not parsed	Parsed from line **Scan window radius set to X** (always taken from the log body, both with and<br>without --cfg)	Not parsed		Not parsed	Not parsed	Not parsed	Not parsed	Not parsed	Not parsed	Not parsed	Not parsed	Parsed from line **XIC IM Extraction Window: X**	Not parsed	Not parsed
search_engine		AlphaDIA (fixed)	AlphaPept (fixed)	DIA-NN (fixed)	MSFragger (fixed)		Parsed from **Algorithm**	Parsed from **searchEnginesWithForms**	Andromeda (fixed)	MetaMorpheus (fixed)	PEAKS (fixed)	Parsed from **software_name** on **Search settings and infos** sheet	Parsed as a list of all the search engines found under the keys in the yml file that start with **SEARCHENGINE** (only **comet** and **msgf** are currently recognized; any other engine name raises an error)	Sage (fixed)	Spectronaut (fixed)	various (fixed)	"Parsed from **AnalysisSoftware_name** (X!Tandem path normalizes `""X! ""` → `""X!""`)"
search_engine_version		Not parsed as no difference with software_version	Same as software_version	Parsed from log file header	Parsed from **# MSFragger version** comment line, or extracted from the MSFragger jar filename in **fragpipe-config.bin-msfragger** (regex `MSFragger-(.+)\.jar`)		Parsed from **Algorithm**	Not parsed	Not parsed	Not parsed (explicitly set to `None`)	Parsed from line **PEAKS Version: X**	Parsed from **software_version** on **Search settings and infos** sheet	Parsed as a list of the versions of all the search engines under the keys in the yml file that start with **SEARCHENGINE**	Parsed from **version**	Parsed from first line	Not parsed (assignment present in source but commented out)	Parsed from **AnalysisSoftware_version**
semi_enzymatic		Not parsed	Not parsed	Not parsed	"Parsed from **msfragger.num_enzyme_termini** (True unless the value is `""2""`)"		"Parsed from **Enzyme Specificity** (True unless the value is `""full""`)"	Not parsed	"Parsed from **enzymeMode** (False only if mode = 0, i.e. ""Fully specific"")"	"Parsed from **CommonParameters.DigestionParams.FragmentationTerminus** (True unless the value is `""Both""`)"	"Parsed from line **Digest Mode: X** (True unless the value is `""Specific""`)"	Not parsed	"Parsed from **num_enzyme_termini** from the json file (True if not equal to `""fully""`)"	Parsed from **semi_enzymatic** in the **database[enzyme]** section in the config (bool; `null` → False)	"Parsed from line **Digest Type: X** (True unless the value is `""Specific""`)"	Not parsed	If X!Tandem: parsed from **protein, cleavage semi**<br>if Sage: hardcoded `False` (the config's semi-enzymatic setting is not propagated)
software_name	AdaNovo (fixed)	AlphaDIA (fixed)	AlphaPept (fixed)	DIA-NN (fixed)	Either FragPipe or FragPipe (DIA-NN quant), depending on input	InstaNovo (fixed)	MSAID (default)	MSAngel (fixed)	MaxQuant (fixed)	MetaMorpheus (fixed)	PEAKS (fixed)	ProlineStudio (fixed)	quantms (fixed)	Sage (fixed)	Spectronaut (fixed)	Wombat (fixed)	i2MassChroQ (fixed)
software_version		Parsed from the first **version** key-value line in the log	**version** in **summary** section of the config	Parsed from log file header	Parsed from **# FragPipe version** comment line if present; otherwise from the header line via regex `FragPipe \((\d+\.\d+.*)\)`		Not parsed	Parsed from **msAngelVersion**	Parsed from **maxQuantVersion**	Parsed from the third whitespace-separated token of the version file's first line	Parsed from line **PEAKS Version: X**	If there is a **Dataset statistics and infos** sheet, it is parsed from **version**, otherwise not parsed	Parsed as the bigbio or nf-core/quantms version from the yml file	Parsed from **version**	Parsed from first line	Parsed from **version**	Parsed from **i2MassChroQ_VERSION**
tokens	Joined keys of **residues**					Joined keys of **residue_remapping**											
variable_mods		**variable_modifications** setting in **library_prediction** section, homogenized to ProForma-like notation	**mods_variable** & **mods_variable_terminal** & **mods_variable_terminal_prot** in **fasta** section of the config; same homogenization as fixed_mods	No --cfg: value set for **--var-mod**<br>--cfg: parsed from line **Modification X with mass delta X at X will be considered as variable**<br>Homogenized to ProForma-like notation via the same mapping table	Parsed from **msfragger.table.var-mods**, same ProForma conversion as fixed_mods (also handles peptide/protein N-term notations)		Parsed from **Variable Modifications**	Parsed from **IT_MODS** in the **paramMap** section if Mascot is used<br>Parsed from **variableModifications** in **modificationParameters** in the **paramMap** section if X!Tandem is used.<br> Special parsing of the **data** section if proteinQuickAcetyl and/or quickPyrolidone are toggled	Parsed from **variableModifications**, same ProForma conversion as fixed_mods	Parsed from **CommonParameters.ListOfModsVariable**, same conversion as fixed_mods	Parsed as the elements between **Variable Modifications:** and **Database:**	Parsed from **variable_ptms** on **Search settings and infos** sheet	Parsed from **variable_mods** from the json file	Parsed from **variable_mods** in the **database** section in the config, mapped to ProForma-style mod names via a mass lookup table	Parsed from line **Variable Modifications: X**	Parsed from **variable_mods**	"Parsed from either **sage_database_variable_mods** or **residue, potential modification mass**, depending on search engine used, with same ProForma conversion.<br>For X!Tandem, also appends `Acetyl(N-term)` if **protein, quick acetyl** = `""yes""` and `Pyrolidone(N-term)` if **protein, quick pyrolidone** = `""yes""`"
